time_s,theta_b,theta_b_dot,theta_w_dot,theta_b_hat,theta_b_dot_hat,theta_w_dot_hat,raw_torque,torque
0.00901015,-0.002712,-0.005326,0,-0.002712,-0.005326,0,0.633427,0.633427
0.0331325,-0.002733,-0.002131,2.62855,-0.002733,-0.002131,2.62855,-1.0868,-1.0868
0.0571602,-0.002344,0.026632,1.41549,-0.002344,0.026632,1.41549,-0.896688,-0.896688
0.0809513,-0.002276,-0.006392,-4.70349,-0.002276,-0.006392,-4.70349,3.55094,3.55094
0.104681,-0.002879,-0.017044,-13.7653,-0.002879,-0.017044,-13.7653,9.60962,5
0.128837,-0.003087,0,-7.28888,-0.003087,0,-7.28888,5.2421,5
0.152894,-0.003183,-0.009587,3.22806,-0.003183,-0.009587,3.22806,-1.24746,-1.24746
0.176563,-0.003195,0.013848,11.0852,-0.003195,0.013848,11.0852,-6.64216,-5
0.200741,-0.003172,-0.003196,4.2684,-0.003172,-0.003196,4.2684,-2.0217,-2.0217
0.224673,-0.003007,0.006392,-3.88946,-0.003007,0.006392,-3.88946,2.95655,2.95655
0.24894,-0.003795,-0.02862,-13.1644,-0.003795,-0.02862,-13.1644,9.61289,5
0.272931,-0.004223,-0.003196,-7.44204,-0.004223,-0.003196,-7.44204,5.62151,5
0.296756,-0.003984,0.004261,2.63152,-0.003984,0.004261,2.63152,-0.951068,-0.951068
0.321101,-0.003476,0.025566,9.23696,-0.003476,0.025566,9.23696,-5.61757,-5
0.34516,-0.003516,-0.013848,6.21325,-0.003516,-0.013848,6.21325,-3.00168,-3.00168
0.368926,-0.003445,-0.003196,-1.82099,-0.003445,-0.003196,-1.82099,1.89824,1.89824
0.392762,-0.003494,0,-9.52155,-0.003494,0,-9.52155,6.74049,5
0.416518,-0.003271,0.013848,-4.24756,-0.003271,0.013848,-4.24756,3.10624,3.10624
0.440849,-0.003619,-0.003196,3.05035,-0.003619,-0.003196,3.05035,-1.15941,-1.15941
0.464905,-0.003801,0.002131,9.10436,-0.003801,0.002131,9.10436,-5.05928,-5
0.488959,-0.00602,0.006392,5.29829,-0.00602,0.006392,5.29829,-2.27546,-2.27546
0.513088,-0.003403,0,-3.1874,-0.003403,0,-3.1874,2.70145,2.70145
0.537789,-0.003557,-0.013848,-10.6662,-0.003557,-0.013848,-10.6662,7.72159,5
0.560945,-0.003575,-0.006392,-3.42891,-0.003575,-0.006392,-3.42891,3.00068,3.00068
0.585216,-0.003902,-0.005326,4.45994,-0.003902,-0.005326,4.45994,-1.96062,-1.96062
0.609338,-0.003275,0.022371,11.559,-0.003275,0.022371,11.559,-7.07582,-5
0.633003,-0.003743,-0.008522,4.72027,-0.003743,-0.008522,4.72027,-2.10174,-2.10174
0.657201,-0.003758,-0.003196,-0.550469,-0.003758,-0.003196,-0.550469,1.15408,1.15408
0.680768,-0.004303,-0.037284,-10.115,-0.004303,-0.037284,-10.115,7.92967,5
0.705006,-0.004077,0.005326,-2.90001,-0.004077,0.005326,-2.90001,2.56027,2.56027
0.729283,-0.004042,-0.006392,3.81848,-0.004042,-0.006392,3.81848,-1.5069,-1.5069
0.753371,-0.004142,-0.002131,12.6877,-0.004142,-0.002131,12.6877,-7.1916,-5
0.777064,-0.004683,-0.012783,5.85422,-0.004683,-0.012783,5.85422,-2.55983,-2.55983
0.800975,-0.004598,-0.001065,-1.78755,-0.004598,-0.001065,-1.78755,2.06954,2.06954
0.825019,-0.004978,-0.008522,-10.8457,-0.004978,-0.008522,-10.8457,8.02562,5
0.854822,-0.005339,-0.004261,-3.49682,-0.005339,-0.004261,-3.49682,3.35806,3.35806
0.873238,-0.005309,-0.008522,7.28974,-0.005309,-0.008522,7.28974,-3.42079,-3.42079
0.896875,-0.004967,0.015979,10.1762,-0.004967,0.015979,10.1762,-5.74927,-5
0.921297,-0.004753,-0.010653,5.81813,-0.004753,-0.010653,5.81813,-2.56018,-2.56018
0.944938,-0.00455,0.002131,-2.7319,-0.00455,0.002131,-2.7319,2.60362,2.60362
0.968814,-0.005318,-0.027697,-7.32221,-0.005318,-0.027697,-7.32221,6.19161,5
0.992691,-0.005493,0.005326,-1.83391,-0.005493,0.005326,-1.83391,2.16567,2.16567
1.01692,-0.005265,0.004261,5.08581,-0.005265,0.004261,5.08581,-2.2538,-2.2538
1.04124,-0.004253,0.030893,11.5968,-0.004253,0.030893,11.5968,-7.05382,-5
1.06448,-0.004256,-0.013848,7.44546,-0.004256,-0.013848,7.44546,-3.63644,-3.63644
1.08906,-0.004373,-0.003196,0.355612,-0.004373,-0.003196,0.355612,0.701449,0.701449
1.11266,-0.004028,-0.007457,-7.66689,-0.004028,-0.007457,-7.66689,5.79982,5
1.13692,-0.003969,0,-4.13778,-0.003969,0,-4.13778,3.41753,3.41753
1.16092,-0.003772,0.002131,4.07836,-0.003772,0.002131,4.07836,-1.87456,-1.87456
1.18485,-0.003662,0.004261,11.9154,-0.003662,0.004261,11.9154,-6.90861,-5
1.20852,-0.003611,0.002131,6.25669,-0.003611,0.002131,6.25669,-3.28944,-3.28944
1.23283,-0.003569,-0.002131,0.199833,-0.003569,-0.002131,0.199833,0.621529,0.621529
1.25659,-0.003576,-0.015979,-8.45391,-0.003576,-0.015979,-8.45391,6.35821,5
