theta_b,theta_b_dot,theta_w_dot,torque,torque_raw,delta_t
-0.014958,0.091613,-0.018794,-0.189577,-0.189577,0.000000
-0.014621,0.091613,-0.003845,-0.208944,-0.208944,0.003835
-0.014031,0.089482,0.003700,-0.218436,-0.218436,0.004321
-0.013511,0.088417,-0.002101,-0.236132,-0.236132,0.003833
-0.012910,0.086286,-0.093437,-0.246217,-0.246217,0.003830
-0.012327,0.086286,-0.310704,-0.279703,-0.279703,0.003919
-0.011792,0.079895,-0.745111,-0.237162,-0.237162,0.003901
-0.010793,0.070307,-1.216442,-0.184602,-0.184602,0.003900
-0.009847,0.060720,-1.619707,-0.129015,-0.129015,0.004302
-0.008788,0.050067,-2.020883,-0.067705,-0.067705,0.003922
-0.007773,0.050067,-2.414649,-0.125853,-0.125853,0.003899
-0.006838,0.039415,-2.896704,-0.057430,-0.057430,0.003901
-0.006038,0.029827,-3.410908,0.006583,0.006583,0.003899
-0.005315,0.018109,-3.843316,0.099361,0.099361,0.003897
-0.004620,0.018109,-3.857979,0.059618,0.059618,0.003898
-0.004143,0.007457,-3.435175,0.154188,0.154188,0.003897
-0.003689,0.006392,-2.812836,0.140145,0.140145,0.003899
-0.004895,0.019175,-2.132160,0.062811,0.062811,0.003899
-0.006013,0.029827,-1.534928,0.004788,0.004788,0.003896
-0.007086,0.029827,-1.106938,0.066180,0.066180,0.003899
-0.008238,0.040480,-0.797425,0.010222,0.010222,0.003896
-0.009307,0.050067,-0.550394,-0.038209,-0.038209,0.003900
-0.009463,0.059655,-0.507726,-0.139135,-0.139135,0.003895
-0.009612,0.059655,-0.842746,-0.130588,-0.130588,0.003899
-0.009755,0.059655,-1.366130,-0.122230,-0.122230,0.003898
-0.008707,0.046872,-1.921776,-0.035907,-0.035907,0.003898
-0.007748,0.034088,-2.457166,0.055586,0.055586,0.003897
-0.006827,0.034088,-2.670485,0.002928,0.002928,0.003897
-0.005890,0.024501,-2.508820,0.058948,0.058948,0.003898
-0.005003,0.021305,-2.103907,0.044480,0.044480,0.003899
-0.005520,0.024501,-1.531188,0.037454,0.037454,0.003896
-0.005984,0.030893,-0.926027,-0.009303,-0.009303,0.004198
-0.006438,0.030893,-0.488902,0.016541,0.016541,0.003900
-0.007418,0.040480,-0.263519,-0.037086,-0.037086,0.003898
-0.008336,0.046872,-0.181754,-0.057662,-0.057662,0.003896
-0.008074,0.049002,-0.344931,-0.097140,-0.097140,0.003897
-0.007822,0.049002,-0.733087,-0.111524,-0.111524,0.003897
-0.007604,0.042611,-1.121493,-0.050694,-0.050694,0.003898
-0.006472,0.031958,-1.672139,0.006366,0.006366,0.003899
-0.005433,0.019175,-2.108739,0.093237,0.093237,0.003895
-0.004513,0.007457,-2.215690,0.174721,0.174721,0.003898
-0.003630,0.007457,-1.957698,0.124034,0.124034,0.003897
-0.002798,0.003196,-1.505477,0.124924,0.124924,0.003898
